Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion este ano,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,24 - 26,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,3000,198,Neto,50,,HTML;Java;PHP;Android,,,,No,0,Porcentaje de mi sueldo,5,5,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,Menos de un ano,4 - 5,HelpDesk,Freelance,3000,198,Neto,10,,,,,,No,0,Neto,1,3,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Rio Negro,1 - 2,1 - 2,HelpDesk,Freelance,3000,198,Neto,10,,,,,,No,0,Neto,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Viaticos
Hombre,31 - 33,GBA,10+,6 - 7,HelpDesk,Full-Time,3000,198,Bruto,200,,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Abono de celular y/o Internet;Comidas pagas/subvencionadas;Horarios flexibles;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)"
Hombre,21 - 23,Provincia de Buenos Aires,3 - 5,2 - 3,Formador programadores,Part-Time,3100,205,Bruto,50,,,,,,,,,3,2,No,No recibo bono,Uno,17,No,No cambie de empresa,Aumento por inflacion;Guarderia
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,4 - 5,HelpDesk,Part-Time,3200,212,Neto,50,,,,,,No,0,Neto,1,1,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa,"Comidas pagas/subvencionadas;Horarios flexibles;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viaticos;WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,SysAdmin / DevOps,Remoto (empresa de otro pais),3200,212,Neto,10,Linux;AWS / Rackspace;Docker / Containers;OpenStack,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,5,3,No,No recibo bono,No,0,No,No cambie de empresa,Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Mujer,27 - 30,Neuquen,1 - 2,1 - 2,Developer,Freelance,3300,218,Neto,10,,CSS;HTML;Javascript;PHP,,,,No,0,Porcentaje de mi sueldo,1,2,No,No recibo bono,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Tucuman,1 - 2,Menos de un ano,Developer,Part-Time,3400,225,Neto,10,,.NET,,,,No,3400,Neto,3,4,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Santiago del Estero,1 - 2,1 - 2,Developer,Part-Time,3500,232,Neto,1001,,.NET;C#,,,,No,0,Bruto,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Santiago del Estero,1 - 2,1 - 2,Developer,Part-Time,3500,232,Neto,1001,,.NET;C#,,,,No,0,Bruto,3,2,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,18 - 20,Cordoba,3 - 5,2 - 3,HelpDesk,Part-Time,3500,232,Neto,10,,,,,,"Si, pasiva",100,Neto,3,2,No,No recibo bono,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Mujer,27 - 30,Mendoza,3 - 5,2 - 3,Designer,Part-Time,3500,232,Bruto,10,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,18 - 20,Ciudad Autonoma de Buenos Aires,8 - 10,2 - 3,Developer,Full-Time,3820.5,253,Bruto,50,,.NET;C#;Java,,,,"Si, activa",0.2,Porcentaje de mi sueldo,5,5,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Designer,Full-Time,4000,265,Bruto,50,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,4000,265,Neto,10,,.NET,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Cordoba,Menos de un ano,Menos de un ano,Developer,Part-Time,4000,265,Neto,50,,Java,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Playroom
Hombre,24 - 26,Mendoza,Menos de un ano,Menos de un ano,Developer,Part-Time,4000,265,Neto,50,,HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,1,3,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Provincia de Buenos Aires,3 - 5,4 - 5,HelpDesk,Part-Time,4000,265,Neto,10,,,,,,No,0,Porcentaje de mi sueldo,5,3,No,No recibo bono,Uno,10,No,No cambie de empresa,Capacitaciones y/o cursos;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,18 - 20,Provincia de Buenos Aires,1 - 2,1 - 2,Networking,Part-Time,4000,265,Neto,500,,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Mendoza,Menos de un ano,Menos de un ano,pasante dev,Part-Time,4000,265,Neto,50,,,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,27 - 30,Mendoza,5 - 7,3 - 4,Designer,Part-Time,4000,265,Bruto,10,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,GBA,Menos de un ano,Menos de un ano,Networking,Part-Time,4047,268,Neto,1001,,,,,,No,0,Neto,1,1,No,No recibo bono,Uno,8,No,No cambie de empresa,Ninguna de las anteriores
Hombre,31 - 33,Santiago del Estero,3 - 5,1 - 2,SysAdmin / DevOps,Part-Time,4300,285,Bruto,10,*BSD;Windows,,,,,No,0,Porcentaje de mi sueldo,1,2,No,No recibo bono,Uno,20,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Cordoba,Menos de un ano,Menos de un ano,Developer,Part-Time,4500,298,Neto,50,,.NET;C#;VB *,,,,No,0,Neto,2,2,Un sueldo,Mix de las anteriores,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos;Clases de idiomas;Snacks, golosinas, bebidas, etc"
Hombre,21 - 23,Provincia de Buenos Aires,1 - 2,1 - 2,HelpDesk,Full-Time,4500,298,Bruto,10,,,,,,"Si, activa",4500,Bruto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3 - 5,3 - 4,HelpDesk,Part-Time,4500,298,Neto,10,,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Cordoba,Menos de un ano,Menos de un ano,HelpDesk,Part-Time,4500,298,Neto,100,,,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,21 - 23,Provincia de Buenos Aires,1 - 2,Menos de un ano,Networking,Part-Time,4500,298,Neto,50,,,,,,No,0,Porcentaje de mi sueldo,3,2,No,No recibo bono,Mas de dos,15,No,Mayor comodidad,Abono de celular y/o Internet;Laptop
Hombre,27 - 30,Provincia de Buenos Aires,1 - 2,1 - 2,Seguridad municipal,Part-Time,4500,298,Bruto,500,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Corrientes,Menos de un ano,Menos de un ano,SysAdmin / DevOps,Part-Time,4500,298,Neto,10,Linux;Windows,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,24 - 26,Misiones,1 - 2,1 - 2,"""it""",Part-Time,4500,298,Neto,200,,,,,,,,,2,2,Menos de un sueldo,"""INCENTIVO""",Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Santa Fe,1 - 2,Menos de un ano,SysAdmin / DevOps,Part-Time,4600,304,Neto,1000,Windows,,,,,No,0,Porcentaje de mi sueldo,3,2,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Mujer,41 - 45,GBA,8 - 10,7 - 8,SysAdmin / DevOps,Full-Time,4800,318,Neto,1000,Windows,,,,,"Si, pasiva",0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Chaco,1 - 2,2 - 3,HelpDesk,Full-Time,4900,324,Neto,500,,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,1,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,24 - 26,Provincia de Buenos Aires,3 - 5,4 - 5,SysAdmin / DevOps,Full-Time,4900,324,Neto,500,Windows;VMWare,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,50+,GBA,3 - 5,2 - 3,DBA,Part-Time,5000,331,Neto,10,,,,,Redis,No,0,Neto,1,1,Menos de un sueldo,Performance grupal,Dos,70,No,No cambie de empresa,Ninguna de las anteriores
Hombre,Menos de 18 anos,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Designer,Full-Time,5000,331,Bruto,1000,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Viajes al exterior
Hombre,21 - 23,Provincia de Buenos Aires,3 - 5,2 - 3,Developer,Remoto (empresa de otro pais),5000,331,Bruto,10,,C;C++;HTML;Java;PHP;Python,,,,No,0,Porcentaje de mi sueldo,1,1,Menos de un sueldo,Performance de la compania,Uno,15,No,No cambie de empresa,Abono de celular y/o Internet;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,Developer,Part-Time,5000,331,Neto,10,,.NET;C#;CSS;HTML;Javascript;jQuery;VB *,,,,No,0,Porcentaje de mi sueldo,4,3,No,No recibo bono,No,0,No,No cambie de empresa,Aumento por inflacion;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,Cordoba,3 - 5,3 - 4,Developer,Part-Time,5000,331,Neto,100,,.NET;C#;Java;VFP,,,,No,0,Bruto,3,3,No,No recibo bono,Uno,17,No,No cambie de empresa,Abono de celular y/o Internet;Aumento por inflacion
Hombre,31 - 33,Provincia de Buenos Aires,5 - 7,2 - 3,HelpDesk,Part-Time,5000,331,Bruto,10,,,,,,No,0,Bruto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,31 - 33,GBA,10+,1 - 2,HelpDesk,Part-Time,5000,331,Bruto,10,,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,HelpDesk,Part-Time,5000,331,Neto,50,,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Uno,25,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,HelpDesk,Part-Time,5000,331,Neto,50,,,,,,No,0,Bruto,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Provincia de Buenos Aires,1 - 2,1 - 2,ing,Part-Time,5000,331,Neto,500,,,,,,,,,2,2,No,No recibo bono,Uno,25,No,No cambie de empresa,Ninguna de las anteriores
Hombre,31 - 33,Chubut,10+,10+,Networking,Full-Time,5000,331,Bruto,10,,,,,,No,0,Bruto,3,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,37 - 40,Santa Fe,8 - 10,9 - 10,Networking,Full-Time,5000,331,Neto,10,,,,,,No,5000,Neto,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Provincia de Buenos Aires,8 - 10,9 - 10,soporte,Freelance,5000,331,Neto,10,,,,,,,,,3,3,No,No recibo bono,Mas de dos,10,No,No cambie de empresa,Abono de celular y/o Internet;Laptop
Mujer,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,5000,331,Bruto,10,,.NET;C#;CSS;HTML;Javascript;PHP,,,,No,5000,Bruto,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa,Horarios flexibles
Mujer,27 - 30,Provincia de Buenos Aires,3 - 5,1 - 2,Developer,Part-Time,5000,331,Neto,200,,Javascript;PHP;SIU Toba,,,,No,0,Neto,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Mujer,18 - 20,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,HelpDesk,Part-Time,5000,331,Neto,10,,,,,,No,0,Bruto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,24 - 26,Tucuman,1 - 2,1 - 2,HelpDesk,Part-Time,5000,331,Neto,1001,,,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,50+,Provincia de Buenos Aires,8 - 10,8 - 9,SysAdmin / DevOps,Part-Time,5000,331,Bruto,10,Windows,,,,,No,0,Neto,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,27 - 30,Santa Fe,3 - 5,2 - 3,HelpDesk,Freelance,5009,332,Bruto,200,,,,,,"Si, activa",0,Bruto,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,27 - 30,Salta,1 - 2,1 - 2,Networking,Freelance,5200,344,Bruto,10,,,,,,No,0,Bruto,3,2,No,No recibo bono,Uno,5,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,21 - 23,Santa Fe,1 - 2,1 - 2,SysAdmin / DevOps,Part-Time,5200,344,Neto,100,Linux;Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,4,3,3+ sueldos,Mix de las anteriores,Dos,20,No,No cambie de empresa,Aumento por inflacion;Bonos por desempeno;Capacitaciones y/o cursos;Horarios flexibles
Hombre,21 - 23,GBA,3 - 5,3 - 4,HelpDesk,Part-Time,5249,347,Neto,200,,,,,,No,0,Porcentaje de mi sueldo,3,2,No,No recibo bono,Dos,30,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,Developer,Part-Time,5300,351,Neto,500,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Neto,2,4,No,No recibo bono,Uno,50,No,No cambie de empresa,Horarios flexibles;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,HelpDesk,Part-Time,5300,351,Neto,10,,,,,,"Si, pasiva",5300,Neto,3,3,No,Performance individual,No,0,No,No cambie de empresa,Capacitaciones y/o cursos;Horarios flexibles;Viaticos
Hombre,24 - 26,GBA,1 - 2,1 - 2,Ventas/ ingenieria,Part-Time,5300,351,Neto,100,,,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,34 - 36,Ciudad Autonoma de Buenos Aires,8 - 10,Menos de un ano,Designer,Part-Time,5300,351,Neto,50,,,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,18 - 20,GBA,1 - 2,Menos de un ano,HelpDesk,Freelance,5400,357,Bruto,100,,,,,,No,0,Neto,4,3,No,No recibo bono,Uno,10,Si,Mayor comodidad,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,Designer,Freelance,5460,361,Bruto,1000,,,,,,,,,2,1,No,No recibo bono,No,0,Si,Salario,Viaticos
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,Designer,Freelance,5460,361,Bruto,1000,,,,,,,,,2,1,No,No recibo bono,No,0,Si,Salario,Viaticos
Hombre,21 - 23,GBA,3 - 5,2 - 3,Developer,Part-Time,5500,364,Neto,10,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,3,3,Un sueldo,No recibo bono,Uno,20,No,No cambie de empresa,"Abono de celular y/o Internet;Aumento por inflacion;Horarios flexibles;Snacks, golosinas, bebidas, etc"
Hombre,24 - 26,Entre Rios,1 - 2,1 - 2,Developer,Part-Time,5500,364,Neto,10,,.NET;C#;HTML;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,4,4,No,No recibo bono,No,0,No,No cambie de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,QA / Tester,Full-Time,5500,364,Neto,50,,,Funcional,Manual Testing,,,,,1,1,Menos de un sueldo,Cobro mas en negro,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Misiones,1 - 2,1 - 2,Networking,Part-Time,5600,371,Neto,500,,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Cuota para universidad;Horarios flexibles
Hombre,18 - 20,San Juan,Menos de un ano,Menos de un ano,Developer,Full-Time,5700,377,Neto,50,,Java,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Guarderia
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,HelpDesk,Part-Time,5800,384,Neto,10,,,,,,No,0,Bruto,3,2,Menos de un sueldo,Performance individual,Dos,30,No,No cambie de empresa,Aumento por inflacion;Horarios flexibles;Viaticos
Hombre,24 - 26,GBA,3 - 5,1 - 2,HelpDesk,Part-Time,5800,384,Neto,200,,,,,,No,0,Neto,4,3,No,No recibo bono,Mas de dos,16,No,No cambie de empresa,Aumento por inflacion;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,GBA,1 - 2,1 - 2,HelpDesk,Part-Time,5800,384,Bruto,1001,,,,,,No,0,Neto,3,4,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Santa Fe,1 - 2,1 - 2,Designer,Part-Time,6000,397,Neto,50,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Provincia de Buenos Aires,1 - 2,Menos de un ano,Developer,Part-Time,6000,397,Neto,10,,PHP,,,,No,0,Neto,4,2,No,No recibo bono,No,0,No,No cambie de empresa,Pagan el monotributo
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,6000,397,Neto,10,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Bruto,3,4,No,No recibo bono,Uno,20,No,No cambie de empresa,"Capacitaciones y/o cursos;Horarios flexibles;Snacks, golosinas, bebidas, etc"
Hombre,21 - 23,Entre Rios,Menos de un ano,Menos de un ano,Developer,Part-Time,6000,397,Neto,10,,CSS;HTML;Java;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,4,4,No,No recibo bono,Uno,15,No,No cambie de empresa,Aumento por inflacion
Hombre,24 - 26,Formosa,1 - 2,1 - 2,Developer,Part-Time,6000,397,Bruto,10,,.NET;C++;HTML;Java;PHP,,,,No,0,Bruto,2,3,Menos de un sueldo,Performance individual,Uno,14,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Corrientes,3 - 5,2 - 3,Developer,Part-Time,6000,397,Bruto,10,,.NET;CSS;HTML;Java;Javascript;jQuery;PHP,,,,No,0,Bruto,1,1,No,No recibo bono,Uno,3,No,No cambie de empresa,Aumento por inflacion
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,6000,397,Neto,50,,Java,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,21 - 23,Tucuman,Menos de un ano,Menos de un ano,Developer,Part-Time,6000,397,Neto,200,,C;C++;C#;delphi 7 - SQL,,,,No,0,Porcentaje de mi sueldo,5,5,No,No recibo bono,No,0,No,No cambie de empresa,"Aumento por inflacion;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,18 - 20,Provincia de Buenos Aires,Menos de un ano,1 - 2,Developer,Full-Time,6000,397,Bruto,1001,,CSS;HTML;Javascript,,,,No,0,Bruto,2,1,No,No recibo bono,Mas de dos,15,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,HelpDesk,Part-Time,6000,397,Neto,500,,,,,,No,0,Porcentaje de mi sueldo,4,5,No,No recibo bono,Uno,40,No,No cambie de empresa,"Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Laptop;Playroom;Snacks, golosinas, bebidas, etc"
