Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en lo que va de 2019?,¿De qué % fue el ajuste?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra,"¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento, en tu ciudad?"
Hombre,45,Ciudad Autónoma de Buenos Aires,+20,0,10,10,Universitario,Completado,Licenciatura en Administración,UBA - Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Project Manager,,,,,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,13000,85000,3,2,No,No recibo bono,Uno,10,6,En un trabajo anterior,Heterosexual,no,No,AWS,1001-2000,Producto basado en Software,8,8,5,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
Hombre,19,Ciudad Autónoma de Buenos Aires,1,1,1,0,Universitario,En curso,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,No,No,Sí,Pasante en it,"Linux, Windows Server",".NET, C#, VBA",,MSSQL,,Visual Studio,Windows,Android,No,0,Porcentaje de mi sueldo,Part-Time,13300,13300,1,1,No,No recibo bono,Uno,10,6,Jamás,Heterosexual,,No,,2001-5000,Servicios / Consultoría de Software / Digital,3,3,25,Beca 30% en la universidad,
Hombre,26,Ciudad Autónoma de Buenos Aires,1,1,1,0,Universitario,En curso,Licenciatura en Análisis de Sistemas,UBA - Universidad de Buenos Aires,No,No,No,Developer,,,,,,,Windows,Android,No,0,Neto,Part-Time,13800,13800,1,1,No,No recibo bono,Uno,12,2,Jamás,Heterosexual,,No,0,10001+,Servicios / Consultoría de Software / Digital,5,6,15,Estacionamiento gratuito / subvencionado,
Mujer,26,Ciudad Autónoma de Buenos Aires,2,1,1,0,Universitario,En curso,Licenciatura en psicologia,UBA - Universidad de Buenos Aires,"Sí, de forma particular",No,Sí,Recruiter / HR,Linux,Python,Django,MySQL,,,Mac OS X,iOS,No,0,Neto,Freelance,14000,12000,1,1,No,No recibo bono,Uno,12,1,En un trabajo anterior,Heterosexual,,,"Nerdearla, taller de python",1-10,Otras industrias,9,5,1,"Horarios flexibles, WFH (Trabajar desde casa)","Mercado Libre, Despegar"
Hombre,19,Provincia de Buenos Aires,6,2,2,1,Terciario,En curso,Analista de Sistemas,ORT,"Sí, de forma particular",Sí,Sí,Technical Leader,"Google Cloud Platform/App Engine, Linux, VMWare, Windows Server","Bash/Shell, HTML, Java, Python","Bootstrap, WordPress","Google Cloud Storage, MariaDB, MySQL",,"Android Studio, Atom, Eclipse, Notepad++, Sublime Text, Spyder 3",Linux,Android,"Sí, pasiva",500,Neto,Part-Time,14000,12000,3,3,Menos de un sueldo,Performance individual,No,0,0,Jamás,Bisexual o queer,,No,,11-50,Otras industrias,9,6,6,"Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,33,Provincia de Buenos Aires,7,0,0,0,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UNS - Universidad Nacional del Sur,"Sí, de forma particular",No,Sí,Data Scientist / Data Engineer,"Amazon Web Services, Docker, Linux, Serverless","Python, Scala","Akka, Hadoop, Spark",,,"IntelliJ, Sublime Text, Vi, Vim, Visual Studio Code",Mac OS X,iOS,No,0,Porcentaje de mi sueldo,Full-Time,14000,85000,3,4,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,,5001-10000,Otras industrias,9,5,-1,"Clases de idiomas, Horarios flexibles, WFH (Trabajar desde casa)",
Hombre,22,Provincia de Buenos Aires,0,0,0,1,Terciario,Completado,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,Windows Server,".NET, SQL, VBA",.NET Core,MSSQL,,Visual Studio,Windows,iOS,No,0,Bruto,Part-Time,14170,12000,2,3,No,No recibo bono,Uno,10,6,Jamás,Heterosexual,,,Charlas en globant,1-10,Servicios / Consultoría de Software / Digital,7,7,5,Viáticos,"Globant, Spark Digital, Infosis"
Hombre,25,Córdoba,2,2,2,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,Developer,Linux,"Bash/Shell, C#, Java, SQL",,MySQL,,Eclipse,Windows,Android,No,0,Neto,Part-Time,14444,14444,3,3,No,No recibo bono,Más de dos,12,5,Jamás,Heterosexual,,,,101-200,Otras industrias,7,5,1,Ninguna de las anteriores,"MercadoLibre, kinetic"
Hombre,23,Ciudad Autónoma de Buenos Aires,0,0,0,0,Universitario,En curso,Licenciatura en Análisis de Sistemas,UBA - Universidad de Buenos Aires,No,No,Sí,Developer,"Amazon Web Services, Linux",Javascript,"Angular, Node.js, React.js",MySQL,"Mocha, Postman",Sublime Text,Linux,iOS,No,0,Bruto,Part-Time,14500,12505,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,Visual,No,,1-10,Producto basado en Software,7,8,3.5,"Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","Mulesoft, Medallia, MercadoLibre, Wolox"
Hombre,41,Ciudad Autónoma de Buenos Aires,12,3,3,0,Terciario,Completado,Tec video,,No,Sí,No,Developer,,"HTML, Javascript, PHP","Bootstrap, jQuery, WordPress",MySQL,,Sublime Text,Windows,Android,No,0,Porcentaje de mi sueldo,Freelance,15000,13000,2,2,No,No recibo bono,Uno,10,5,En un trabajo anterior,Heterosexual,,,,1-10,Servicios / Consultoría de Software / Digital,6,6,-1,Horarios flexibles,
Hombre,23,GBA,2,2,2,0,Universitario,En curso,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,No,No,No,Developer,Windows Server,"Bash/Shell, PHP, Python, SQL",,"MariaDB, MySQL",,"IPython / Jupyter, Notepad++, PyCharm",Windows,Android,No,0,Porcentaje de mi sueldo,Part-Time,15000,13000,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,Escuela de ciencia informática,1-10,Producto basado en Software,3,4,5,Ninguna de las anteriores,"Medallia, jamp"
Mujer,26,GBA,1,1,1,0,Terciario,Completado,Analista de Sistemas,ISFT 172- LOMAS DE ZAMORA GBA SUR BS AS,No,No,Sí,Developer,,"HTML, Javascript, PHP, SQL, VBA","Angular, Bootstrap, jQuery","MSSQL, PostgreSQL",,"Notepad++, Sublime Text, Visual Studio, Visual Studio Code, DREAMWEAVER CC 18",Windows,Android,No,0,Neto,Freelance,15000,13000,2,2,No,No recibo bono,Uno,50,5,Jamás,Heterosexual,,,,201-500,Otras industrias,9,10,4,"Capacitaciones y/o cursos, Estacionamiento gratuito / subvencionado, Horarios flexibles",
Mujer,32,Misiones,9,0,1,0,Universitario,Completado,Analista de Sistemas,,"Sí, de forma particular",No,Sí,Developer,Linux,"HTML, Javascript, PHP","Bootstrap, WordPress",MySQL,,Visual Studio Code,Linux,Android,No,0,Porcentaje de mi sueldo,Freelance,15000,13000,1,1,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,"Charlas, meetups",11-50,Otras industrias,7,7,-1,"Horarios flexibles, WFH (Trabajar desde casa)",Marandu Comunicaciones SE
Hombre,30,Provincia de Buenos Aires,10,1,1,0,Universitario,Incompleto,Analista de Sistemas,UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,No,Sí,No,SysAdmin / DevOps / SRE,"Linux, Windows Server",,,,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,15000,14000,1,1,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,,1-10,Otras industrias,1,1,3,"Comidas pagas / subvencionadas, Sueldo divido en dos pagos por mes",
Hombre,23,GBA,0,0,0,0,Universitario,En curso,Licenciatura en Análisis de Sistemas,UBA - Universidad de Buenos Aires,"Sí, de forma particular",No,No,Pasante ,,"HTML, Java, SQL",,Oracle,,Eclipse,Windows,Android,No,0,Neto,Part-Time,15000,15000,4,3,No,No recibo bono,Uno,7,6,Jamás,Heterosexual,,,,5001-10000,Otras industrias,8,6,30,"Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Vacaciones flexibles (adicionales a las reglamentarias)","No lo se, pero me gustaría conseguir empleo en una empresa que se dedique a la industria del software. "
Hombre,31,Jujuy,9,2,2,1,Universitario,Incompleto,Licenciatura en Sistemas de Información,UNJu - Universidad Nacional de Jujuy,"Sí, de forma particular",Sí,Sí,Developer,"Amazon Web Services, Firebase, Linux","CSS, HTML, Java, Javascript, Objective-C, SQL, Swift, TypeScript","Angular, Bootstrap, jQuery, Node.js, React.js","MariaDB, MySQL","Jest, Postman","Android Studio, Vim, Visual Studio Code, Xcode",Mac OS X,iOS,No,0,Bruto,Full-Time,15000,15000,2,4,No,No recibo bono,No,0,1,Jamás,Bisexual o queer,no,No,"flisol, bigdata summit, endeavor",1-10,Producto basado en Software,10,10,0,"Horarios flexibles, Sueldo dolarizado, Vacaciones flexibles (adicionales a las reglamentarias)",AMLA
Hombre,26,Jujuy,0,0,0,0,Universitario,Completado,Analista Programador Universitario,UNJu - Universidad Nacional de Jujuy,No,No,No,Developer,Docker,"HTML, Java, Javascript, SQL, TypeScript","Angular, Bootstrap, Spring",MySQL,,Visual Studio Code,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,15000,15000,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,ninguno,11-50,Producto basado en Software,8,8,15,"Capacitaciones y/o cursos, Clases de idiomas, Lactario en la oficina, Snacks, golosinas, bebidas",Softlogia - Openix 
Hombre,43,Provincia de Buenos Aires,12,1,1,0,Terciario,Completado,Tecnicatura en Sistemas,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,HelpDesk,Windows Server,"HTML, Javascript, PHP","Bootstrap, jQuery, Laravel",MySQL,Visual Studio Coded UI,"NetBeans, Sublime Text, Visual Studio Code",Windows,Android,No,0,Bruto,Freelance,15000,15000,1,1,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,0,1-10,Producto basado en Software,1,5,2,"Comidas pagas / subvencionadas, Horarios flexibles",
Hombre,33,Ciudad Autónoma de Buenos Aires,5,5,5,0,Secundario,Completado,,,"Sí, de forma particular",No,No,HelpDesk,*BSD,,,,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,15000,30000,2,2,No,No recibo bono,Dos,20,6,Jamás,Heterosexual,,No,,1-10,Otras industrias,7,4,2,Ninguna de las anteriores,
Hombre,32,Ciudad Autónoma de Buenos Aires,9,9,9,0,Universitario,Completado,Diseño Gráfico,UBA - Universidad de Buenos Aires,No,No,No,Designer,,,,,,,Windows,Android,No,0,Bruto,Full-Time,15000,36000,3,2,No,No recibo bono,Uno,5,6,Jamás,Heterosexual,,,,1-10,Otras industrias,6,5,0,Ninguna de las anteriores,
Hombre,21,GBA,3,1,1,2,Universitario,En curso,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,No,Sí,Sí,Technical Leader,"Amazon Web Services, Docker, Firebase, Linux, Serverless","Bash/Shell, CSS, HTML, Javascript, TypeScript","Flutter, Node.js, Vue.js","Amazon DynamoDB, ElasticSearch",Mocha,Visual Studio Code,Mac OS X,iOS,"Sí, pasiva",0,Neto,Part-Time,15500,31000,3,2,No,No recibo bono,Uno,20,6,Jamás,Heterosexual,,,,1-10,Servicios / Consultoría de Software / Digital,10,10,3,"Capacitaciones y/o cursos, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
Hombre,21,Ciudad Autónoma de Buenos Aires,1,0,0,0,Universitario,En curso,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,"Sí, los pagó un empleador",No,Sí,Developer,"Amazon Web Services, Azure, Docker, Heroku, Linux","CSS, Javascript, Ruby, SQL, TypeScript","Bootstrap, Cordova, jQuery, Rails, React.js","Cassandra, MySQL, PostgreSQL",,"Vim, Visual Studio Code",Linux,iOS,No,0,Porcentaje de mi sueldo,Part-Time,16000,14000,3,3,Menos de un sueldo,Mix de las anteriores,Dos,30,6,En un trabajo anterior,Heterosexual,,No,,11-50,Producto basado en Software,10,10,1.5,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Hombre,26,Santiago del Estero,7,5,5,0,Universitario,Completado,Ingeniería en Informática,Universidad Carolica de Santiago del Estero,"Sí, de forma particular",No,Sí,Networking,"Linux, VMWare, Windows Server","HTML, PHP, Python, SQL",Laravel,"MariaDB, MSSQL, MySQL",,"Notepad++, PyCharm",Windows,Android,No,0,Neto,Full-Time,16000,14000,2,2,No,No recibo bono,Uno,40,3,Jamás,Heterosexual,,,,1001-2000,Otras industrias,8,7,2,"Estacionamiento gratuito / subvencionado, Horarios flexibles, Viáticos",
Hombre,23,Ciudad Autónoma de Buenos Aires,2,2,0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, los pagó un empleador",No,No,Developer,Linux,Python,,PostgreSQL,,"Vim, Visual Studio Code",Linux,Android,No,0,Porcentaje de mi sueldo,Part-Time,16000,15000,3,3,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,,11-50,Producto basado en Software,5,8,13,"Capacitaciones y/o cursos, Snacks, golosinas, bebidas","Mercado Libre, Despegar"
Hombre,27,Ciudad Autónoma de Buenos Aires,1,1,1,0,Universitario,Incompleto,Ingeniería Electrónica,UBA - Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Data Scientist / Data Engineer,Linux,"Bash/Shell, Python, SQL","Hadoop, Spark, TensorFlow","Amazon Redshift, Cassandra, MongoDB, Neo4j, PostgreSQL, Redis, Teradata",,"Atom, IPython / Jupyter",Windows,Android,No,0,Bruto,Part-Time,16000,15600,2,2,No,No recibo bono,Uno,15,2,Jamás,Heterosexual,,No,,11-50,Servicios / Consultoría de Software / Digital,6,3,-1,WFH (Trabajar desde casa),"MercadoLibre, MuleSoft"
Hombre,43,Santa Fe,20,6,6,0,Universitario,Incompleto,Ingeniería en Informática,UADER - Universidad Autónoma de Entre Ríos,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,instructor,"Linux, VMWare, Windows Server, AutoCAD","HTML, VBA","Angular, WordPress","Microsoft Azure (Tables, CosmosDB, SQL, etc)",,"Notepad++, Vi, Vim",Windows,Android,No,0,Bruto,Full-Time,16000,15950,3,2,Menos de un sueldo,uno a con de año si hay suerte,Dos,10,6,En mi trabajo actual,Heterosexual,,,No puede asistir a ninguno,1-10,Servicios / Consultoría de Software / Digital,7,2,250,"Capacitaciones y/o cursos, Viáticos",No sé
Hombre,29,Jujuy,4,1,0,0,Universitario,Completado,Ingeniería en Informática,UNJu - Universidad Nacional de Jujuy,"Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, IBM Cloud / Watson, Linux","C, C++, HTML, Java, Python, R, SQL","Bootstrap, Django","MariaDB, MySQL, PostgreSQL",,"Atom, IPython / Jupyter, Nano, Notepad++, Vi, Vim, Visual Studio Code",Linux,Android,"Sí, pasiva",0,Bruto,Part-Time,16500,15800,1,1,Menos de un sueldo,Performance de la compañía,Uno,15,3,Jamás,Heterosexual,,,BIG DATA SUMMIT,11-50,Servicios / Consultoría de Software / Digital,8,8,1,"Capacitaciones y/o cursos, Clases de idiomas",En mi ciudad creo que ninguna o no conozco. En Tucuman Globant o Sovos. En Salta Integra Media
Hombre,24,Santa Fe,7,6,6,0,Terciario,En curso,Tecnicatura en Marketing y Publicidad Digital,Universidad Siglo 21,"Sí, de forma particular, Sí, los pagó un empleador",No,No,HelpDesk,Google Cloud Platform/App Engine,,,,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,17030,23307,2,1,No,No recibo bono,Uno,20,1,Jamás,Heterosexual,,No,,201-500,Otras industrias,7,7,2,Comidas pagas / subvencionadas,"Google, Globant, Warecloud"
Hombre,24,Ciudad Autónoma de Buenos Aires,2,0,0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,Developer,Linux,"HTML, Javascript, Perl",React.js,MySQL,,IntelliJ,Linux,iOS,No,0,Porcentaje de mi sueldo,Part-Time,18000,15000,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,Visual,No,,1-10,Servicios / Consultoría de Software / Digital,3,2,1,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)","Mercado libre, wolox"
Hombre,32,Ciudad Autónoma de Buenos Aires,13,3,3,2,Terciario,Completado,Analista de Sistemas,,"Sí, de forma particular",No,Sí,Developer,"Google Cloud Platform/App Engine, Linux, Mainframe, OpenStack, Solaris, VMWare, Windows Server",".NET, Assembler, C, C++, C#, COBOL, CSS, HTML, Java, PHP, SQL, VBA",".NET Core, Drupal, jQuery, SAP, WordPress","Google Cloud Storage, IBM Db2, MSSQL, MySQL, Oracle, PostgreSQL, SQLite, Sybase",,"Android Studio, Eclipse, Notepad++, Visual Studio",Windows,Android,"Sí, pasiva",0,Neto,Full-Time,18000,15000,1,1,No,No recibo bono,Uno,2,6,Jamás,Heterosexual,,No,,201-500,Otras industrias,1,1,10,"Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado",
Hombre,32,Ciudad Autónoma de Buenos Aires,13,3,3,2,Terciario,Completado,Analista de Sistemas,,"Sí, de forma particular",No,Sí,Developer,"Google Cloud Platform/App Engine, Linux, Mainframe, OpenStack, Solaris, VMWare, Windows Server",".NET, Assembler, C, C++, C#, COBOL, CSS, HTML, Java, PHP, SQL, VBA",".NET Core, Drupal, jQuery, SAP, WordPress","Google Cloud Storage, IBM Db2, MSSQL, MySQL, Oracle, PostgreSQL, SQLite, Sybase",,"Android Studio, Eclipse, Notepad++, Visual Studio",Windows,Android,"Sí, pasiva",0,Neto,Full-Time,18000,15000,1,1,No,No recibo bono,Uno,2,6,Jamás,Heterosexual,,No,,201-500,Otras industrias,1,1,10,"Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado",
Hombre,39,Provincia de Buenos Aires,10,3,3,0,Posgrado,Completado,,UNLP - Universidad Nacional de La Plata,"Sí, de forma particular",No,No,legal,"Linux, Windows Server",,,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Selenium,"Android Studio, Visual Studio",Windows,Android,No,0,Bruto,Full-Time,18000,15000,3,3,No,No recibo bono,No,20,3,En un trabajo anterior,Heterosexual,Visual,No,a ninguno,1-10,Servicios / Consultoría de Software / Digital,10,6,2,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",no lo se
Hombre,30,Ciudad Autónoma de Buenos Aires,0,0,0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,QA / Tester,"Amazon Web Services, Linux","Java, Javascript","Angular, Node.js","MongoDB, MySQL","JUnit, Selenium","Eclipse, Sublime Text, Visual Studio Code",Mac OS X,Android,No,0,Porcentaje de mi sueldo,Part-Time,18000,15500,4,4,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,No,,101-200,Producto basado en Software,10,10,14,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Estacionamiento gratuito / subvencionado, Horarios flexibles, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior",
